title,cluster
Sinbad: Legend of the Seven Seas,20
Terminator 3: Rise of the Machines,2
Swimming Pool,10
Pirates of the Caribbean: The Curse of the Black Pearl,16
Madame Satã,7
The League of Extraordinary Gentlemen,2
Kukushka,19
The Holy Land,7
Une femme de ménage,15
I Capture the Castle,19
Km. 0,13
Northfork,24
Bad Boys II,0
How to Deal,15
Johnny English,0
The Anarchist Cookbook,8
Dirty Pretty Things,23
L'imbalsamatore,19
Garage Days,8
Cavale,18
Umi wa miteita,19
Born to Be Wild,7
Curly Sue,15
Little Giants,1
Loose Cannons,10
The Mouse That Roared,1
Spencer's Mountain,8
Masked and Anonymous,7
Lara Croft Tomb Raider: The Cradle of Life,0
Seabiscuit,7
Spy Kids 3-D: Game Over,0
Buffalo Soldiers,23
Camp,1
Hotel,1
La hija del caníbal,23
Los lunes al sol,7
Scorched,1
Avanti!,15
Eve of Destruction,24
Gator,3
Juggernaut,10
Kickboxer 2:  The Road Back,0
"Kiss Me, Stupid",13
"One, Two, Three",1
Amores Possíveis,18
The Private Life of Sherlock Holmes,10
Remo Williams: The Adventure Begins...,0
The Blood of Heroes,24
"What's Up, Tiger Lily?",1
White Lightning,3
American Wedding,13
Gigli,7
And Now... Ladies and Gentlemen...,19
I'll Be There,8
The Magdalene Sisters,7
The Secret Lives of Dentists,7
Freaky Friday,1
Bord de mer,7
S.W.A.T.,10
Le Divorce,15
修羅雪姫,24
Step Into Liquid,11
Accattone,7
Big Trouble,1
Brain Damage,21
A Double Life,23
Uccellacci e uccellini,8
The Man in the Glass Booth,28
Purpose,18
The Red Pony,9
Sex and the Other Man,8
Il vangelo secondo Matteo,7
The Honeymoon Killers,23
Umberto D.,7
Brother's Keeper,11
The Day of the Dolphin,23
I Love You to Death,10
Freddy vs. Jason,17
Grind,1
Open Range,14
少林足球,1
Uptown Girls,1
American Splendor,8
The Backyard,11
Carnages,7
Passionada,13
Agent Cody Banks,9
Camp Nowhere,8
The Cemetery Club,1
Changing Habits,15
Hot Dog... The Movie,1
House of Wax,5
The Inn of the Sixth Happiness,7
Man's Best Friend,26
Of Unknown Origin,17
Prince of Jutland,7
Remando al viento,4
The Rachel Papers,13
The Sure Thing,15
Thrashin',9
Valley Girl,13
Wait Until Dark,27
Where the Rivers Flow North,7
Code Inconnu: Récit Incomplet de Divers Voyages,19
Showdown in Little Tokyo,2
東京物語,7
Le rayon vert,19
THX 1138,24
Valley of the Dolls,19
The Business of Fancydancing,7
춘향뎐,19
Tunes of Glory,7
Kind Hearts and Coronets,8
Ash Wednesday,3
Joe Kidd,14
The Keep,17
Kaitei gunkan,24
地球防衛軍,24
Attack of the Puppet People,26
"The Beast from 20,000 Fathoms",26
10,13
Tremors,17
The Red Shoes,19
Me & Isaac Newton,11
The Pink Panther,1
The Pink Panther Strikes Again,1
Commando,0
Dracula,17
Le Charme discret de la bourgeoisie,1
我的父亲母亲,19
生きる,7
Comic Book Villains,1
An Angel at My Table,7
War Photographer,11
"¡Ay, Carmela!",8
Loin,19
Incident at Oglala,11
Prerokbe Ognja,25
The Handmaid's Tale,24
Revolution OS,11
All the Little Animals,7
1947: Earth,7
Fire,19
Morte a Venezia,7
Marci X,1
The Medallion,2
My Boss's Daughter,13
Babí Léto,8
The Battle of Shaker Heights,15
Sin noticias de Dios,1
Dust,19
Stoked: The Rise And Fall Of Gator,11
Tan de repente,8
Jeepers Creepers 2,27
Bollywood/Hollywood,15
Civil Brand,23
Nola,13
Once Upon a Time in the Midlands,15
El otro lado de la cama,19
Zero Day,7
Dickie Roberts: Former Child Star,1
The Order,4
Home Room,7
Party Monster,3
Taking Sides,7
Cabin Fever,17
Matchstick Men,23
Once Upon a Time in Mexico,9
Dummy,15
Lost in Translation,7
Luster,7
千年女優,19
夕陽天使,2
Children Of The Night,17
Daisy Miller,19
Erleuchtung Garantiert,1
Gotcha!,2
Hard to Hold,15
Kuffs,10
黃飛鴻,9
黃飛鴻之二男兒當自強,1
黃飛鴻之三獅王爭霸,9
Paper Moon,3
Sgt. Pepper's Lonely Hearts Club Band,16
En sång för Martin,19
Targets,18
The Ugly American,18
The Bostonians,19
Convoy,8
Day of the Dead,26
"Hello, Dolly!",13
Je rentre à la maison,7
Memoirs of an Invisible Man,22
The Rose,19
See No Evil,10
Stazione Termini,19
At War with the Army,1
Bingo,0
God Told Me To,5
"I, Madman",27
Jungle Book,16
Once Bitten,21
The Shrimp on the Barbie,13
Squirm,17
The Adventures of Huckleberry Finn,8
The Brood,26
The Prince and the Pauper,16
Anything Else,13
Cold Creek Manor,5
The Fighting Temptations,13
Secondhand Lions,8
Underworld,2
Bubba Ho-tep,5
Casa de los Babys,7
Demonlover,18
Doctor Sleep,5
In This World,7
יוסי וג'אגר,19
Duplex,2
The Rundown,0
Under the Tuscan Sun,19
Kart Racer,9
Luther,7
Mambo Italiano,13
My Life Without Me,19
National Lampoon Presents Dorm Daze,1
Être et avoir,11
Les triplettes de Belleville,8
Videodrome,26
लगान,19
Judgment at Nuremberg,7
Reise der Hoffnung,7
"Same Time, Next Year",15
A Brief History of Time,11
Jakob der Lügner,8
Leningrad Cowboys Go America,1
La Règle du jeu,15
The Song Remains the Same,25
Seven Brides for Seven Brothers,8
Kiss of the Spider Woman,7
All the President's Men,18
Angie,15
L'Appartement,19
Avalon,24
Babettes gæstebud,8
Сибирский цирюльник,15
Beethoven,1
Beethoven's 2nd,1
Black Moon Rising,2
Boyz n the Hood,3
Bugsy,3
Bugsy Malone,8
By the Sword,7
Cobra,10
La comunidad,21
Consenting Adults,3
Phenomena,27
Crimewave,10
Crying Freeman,10
順流逆流,23
The Meaning of Life,1
Where Eagles Dare,29
Tightrope,23
Sleeping with the Enemy,23
PCU,1
The Rookie,23
The Ghost & Mr. Chicken,13
City Heat,10
Into the Night,8
Three O'Clock High,1
White Hunter Black Heart,9
Иди и смотри,29
A Rage in Harlem,1
Ginger Snaps,17
More American Graffiti,8
The Ballad of Little Jo,19
Under Suspicion,23
Ruby,23
The Reluctant Astronaut,22
The Shakiest Gun in the West,14
It's Pat,1
Sunday in the Country,23
The Gun in Betty Lou's Handbag,5
Sudden Fear,18
Nobody's Baby,1
Regarding Henry,7
The Debut,7
Wilder Napalm,22
Contamination,26
The Amazing Transparent Man,26
Love Affair,19
Once in the Life,3
Try Seventeen,15
The Hospital,8
Article 99,8
Images,17
Eureka,28
Oleanna,7
Chattahoochee,7
Tough Guys Don't Dance,23
There Goes My Baby,8
Kingdom of the Spiders,26
Scrooge,7
Leap of Faith,15
Gas Food Lodging,19
In Cold Blood,3
Campus Man,1
The Bedford Incident,28
Les blessures assassines,7
Yankee Doodle Dandy,7
獣兵衛忍風帖,12
Nóz w wodzie,7
All That Money Can Buy,8
Mobsters,23
Charlotte Sometimes,19
Out of Time,23
School of Rock,1
Concert for George,25
The Event,18
9 Dead Gay Guys,1
The Station Agent,8
Wonderland,23
Ônibus 174,11
Mystic River,23
Good Boy!,22
House of the Dead,27
Intolerable Cruelty,13
Kill Bill: Vol. 1,10
Dopamine,13
La fleur du mal,7
Girls Will Be Girls,1
La chatte à deux têtes,7
Runaway Jury,18
The Texas Chainsaw Massacre,17
Pieces of April,8
Returner リターナー,24
Sylvia,19
Veronica Guerin,23
In the Cut,5
Beyond Borders,29
Radio,7
Scary Movie 3,1
Brother Bear,20
Elephant,3
Gypsy 83,7
The Singing Detective,1
The Italian Job,10
Impulse,5
Normal,7
Shoah,11
Unconditional Love,8
Sweet Sixteen,3
Alien from L.A.,24
Black Sunday,28
Men of Respect,3
Interstate 60,22
Lipstick,18
Storyville,7
That was Then... This is Now,7
Holy Matrimony,1
The Black Scorpion,26
見鬼,17
Captain Kronos: Vampire Hunter,17
The Jolson Story,7
You'll Never Get Rich,13
Frankenstein and the Monster from Hell,26
Preaching to the Perverted,1
Chicago Joe and the Showgirl,3
The Magic Sword,16
Promised Land,19
অপরাজিত,7
The Hired Hand,14
Le Cercle Rouge,23
Człowiek z marmuru,7
Sherlock Holmes and the Voice of Terror,18
Sherlock Holmes Faces Death,18
Sherlock Holmes in Washington,28
The Solid Gold Cadillac,13
The Human Stain,19
"Die, Mommie, Die!",1
Dirt,1
Mail Order Bride,28
Shattered Glass,7
Suspended Animation,27
The Matrix Revolutions,2
La revolución no será televisada,11
Elf,22
Standard Time,25
Billabong Odyssey,0
Ein Lied von Liebe und Tod – Gloomy Sunday,19
Dans ma peau,17
Love Actually,15
Défense d'aimer,7
Father of the Bride,13
Looney Tunes: Back in Action,20
Master and Commander: The Far Side of the World,16
Tupac: Resurrection,25
The Big Empty,8
The Missing,14
The Cat in the Hat,22
Gothika,27
21 Grams,23
Les Invasions barbares,3
藍色大門,19
Bad Santa,3
The Haunted Mansion,22
Timeline,24
Marquis,1
Damage,19
Devil's Playground,11
Dance with a Stranger,3
Darkman,24
Dead of Night,5
Death Machine,26
Le dernier combat,2
Desk Set,13
Europa,18
The Watermelon Woman,7
Final Analysis,19
The Freshman,1
Funny Games,4
Tales from the Crypt,17
New Jack City,23
Slacker,1
WarGames,26
Mr. Hobbs Takes a Vacation,1
Ordet,7
Jeux interdits,7
Jane Eyre,19
A Tale of Two Cities,9
La passion de Jeanne d'Arc,7
Ben-Hur: A Tale of the Christ,7
Das Cabinet des Dr. Caligari,4
Broken Blossoms,19
Gorky Park,23
The First Great Train Robbery,23
"Greystoke: The Legend of Tarzan, Lord of the Apes",9
Guarding Tess,8
Hannah and Her Sisters,8
The Hard Way,10
Hercules in New York,22
Highlander II: The Quickening,24
Hoffa,10
House of Cards,7
Housesitter,13
Hudson Hawk,0
Invasion of the Body Snatchers,5
Mindwalk,7
Kafka,8
Kindergarten Cop,1
King Ralph,1
Knight Moves,5
The Last Boy Scout,2
Ultimo tango a Parigi,19
Lorenzo's Oil,7
L'Amant,19
Matador,18
Mr. Destiny,22
The Night of the Hunter,10
Nowhere to Run,28
Only the Lonely,13
Over the Top,9
Passenger 57,0
Presumed Innocent,23
Project X,7
Proof,7
Pure Luck,1
バトル・ロワイアル,18
喜宴,15
Salò o le 120 giornate di Sodoma,29
A Midnight Clear,7
Summer School,1
Silverado,3
Quick Change,1
Rabid,17
Radio Flyer,7
The Real McCoy,23
Revenge,23
The Secret of My Success,1
Fucking Åmål,15
Streets of Fire,2
Teen Wolf,13
Tacones lejanos,15
Things You Can Tell Just by Looking at Her,19
Thunderheart,10
To Live and Die in L.A.,10
Trapped in Paradise,1
37°2 le matin,19
Vivre sa vie: film en douze tableaux,7
Wild at Heart,10
The Witches,16
The Witches of Eastwick,21
Year of the Dragon,23
Nothing to Lose,0
Flying Down to Rio,13
Follow the Fleet,13
What's New Pussycat?,13
Mary of Scotland,7
Roberta,13
Little Women,19
Swing Time,13
The Public Enemy,3
A Midsummer Night's Dream,22
Life with Father,1
National Velvet,7
Jesus Christ Superstar,7
Dark Victory,6
Birdman of Alcatraz,7
"Aguirre, der Zorn Gottes",7
La belle et la bête,19
The Birth of a Nation,29
蓝风筝,7
Giulietta degli spiriti,8
L'Année dernière à Marienbad,19
The Tragedy of Macbeth,29
Red River,14
A Woman Under the Influence,19
Stagecoach,14
A Shot in the Dark,1
The Navigator,1
The Court Jester,0
Bullitt,23
Way Down East,19
Jezebel,19
The Hunchback of Notre Dame,19
42nd Street,13
I'm No Angel,13
That Touch of Mink,13
Sweet Dreams,19
"Play It Again, Sam",15
Send Me No Flowers,13
Pygmalion,15
A Passage to India,7
Orfeu Negro,19
Amarcord,8
英雄,9
Horse Feathers,13
Anna Karenina,19
The Front Page,15
Attraction,18
Looking for Mr. Goodbar,18
Rivers and Tides,11
Une hirondelle a fait le printemps,8
Seven Days to Noon,18
風の谷のナウシカ,16
CrissCross,7
Doc Hollywood,13
Dragnet,10
MadHouse,1
1941,1
A Shot at Glory,7
La victoire en chantant,8
Foul Play,5
重案組,23
Al di là delle nuvole,19
盲獣,17
Ryan's Daughter,19
Accident,3
Cabeza de Vaca,9
The Collector,18
Profondo Rosso,5
Les diaboliques,4
Leprechaun,21
王立宇宙軍 オネアミスの翼,24
Crazy People,13
Dark Wolf,17
Adam's Rib,15
Le roi de cœur,8
Naked Lunch,3
Grass,11
Spring Forward,7
The Killing of a Chinese Bookie,23
Run,28
Things to Come,24
Darling,19
A Summer Place,19
A Night at the Opera,1
Metalstorm: The Destruction of Jared-Syn,24
Forbrydelsens element,23
Tirez sur le pianiste,23
Baisers volés,15
The Cooler,19
In America,19
The Legend of Leigh Bowery,11
My Flesh and Blood,11
Honey,25
The Last Samurai,29
What Alice Found,7
Big Fish,16
Love Don't Cost a Thing,15
Something's Gotta Give,15
Stuck on You,1
Girl with a Pearl Earring,19
The Statement,18
The Lord of the Rings: The Return of the King,16
Mona Lisa Smile,19
Calendar Girls,1
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,11
The Hebrew Hammer,1
House of Sand and Fog,7
Two Men Went To War,8
Monster,3
Cheaper by the Dozen,1
Cold Mountain,7
Paycheck,2
Peter Pan,16
The Company,7
Young Black Stallion,16
Japanese Story,19
Choses secrètes,7
Chasing Liberty,13
My Baby's Daddy,1
Aileen: Life and Death of a Serial Killer,11
Uzak,7
Along Came Polly,13
Teacher's Pet,20
Torque,9
طلای سرخ,7
Osama,7
The Great Gatsby,19
Wuthering Heights,19
Odds Against Tomorrow,3
Ship of Fools,19
Lord Love a Duck,8
There's a Girl in My Soup,13
This Property Is Condemned,19
Real Men,24
Once Upon a Crime,1
Beyond Therapy,1
Buster,13
"Car 54, Where Are You?",1
Blame It on the Bellboy,1
Only the Strong,9
The Adventures of Ford Fairlane,10
Bonjour Tristesse,7
The Enforcer,3
The Men,7
Ransom,28
The Pick-up Artist,15
Melvin Goes to Dinner,1
The Court-Martial of Billy Mitchell,29
Crime Spree,1
Beyond Re-Animator,21
Final Cut,18
Hells Angels on Wheels,23
The Wind and the Lion,9
Mon oncle,1
Where the Boys Are,15
Dr. Jekyll and Mr. Hyde,26
Les Vacances de Monsieur Hulot,1
My Darling Clementine,14
People Will Talk,15
I Was a Male War Bride,13
Divorce American Style,1
Kiss Them for Me,13
To Have and Have Not,28
High Sierra,23
Dark Passage,23
The Ox-Bow Incident,9
They Drive by Night,6
Micki & Maude,13
Platinum Blonde,13
Reefer Madness,8
D.O.A.,3
The Boy with Green Hair,8
Pumping Iron,11
No Good Deed,23
The Trouble with Angels,1
Cool World,22
Money for Nothing,23
The Silencers,2
"Where Angels Go, Trouble Follows",1
Heat and Dust,19
Mesmerized,7
La strada,7
Koroshiya 1,10
A Boy and His Dog,8
The Last Tycoon,19
Popiól i diament,29
Marooned,18
King David,9
Kanał,29
Cat Chaser,2
Intolerance: Love's Struggle Throughout the Ages,7
The Beast of Yucca Flats,26
Tormented,17
The Violent Years,18
Chitty Chitty Bang Bang,22
สุริโยไท,29
Plaza Suite,15
The Out of Towners,1
Where the Day Takes You,7
The Three Stooges in Orbit,1
It,15
The Butterfly Effect,26
Win a Date with Tad Hamilton!,13
Touching the Void,0
The Big Bounce,1
The Perfect Score,1
You Got Served,7
Latter Days,15
Barbershop 2:  Back in Business,8
Catch That Kid,0
Miracle,7
Un couple épatant,7
The Dreamers,19
The Lost Skeleton of Cadavra,21
Who's the Man?,8
Love at Large,13
Hangin' With The Homeboys,8
Sleep with Me,15
Just Between Friends,19
Super Fly,3
A Piece of the Action,1
Let's Do It Again,10
Uptown Saturday Night,1
Hell's Kitchen,3
The Innocent,19
Daddy and Them,8
The Wilby Conspiracy,28
Blacula,27
Scream Blacula Scream,17
Da Hip Hop Witch,21
Swing Shift,15
Trespass,10
Thirteen,3
Simple Men,3
The Sailor Who Fell from Grace with the Sea,18
Foolish Wives,7
"Silent Night, Bloody Night",27
The Sin of Harold Diddlebock,1
Pontiac Moon,7
Best Defense,1
50 First Dates,13
Welcome to Mooseport,1
Après la vie,3
Salmer fra kjøkkenet,8
The Code,28
Monsieur Ibrahim et les fleurs du Coran,7
Vanishing Point,28
Journal d'un curé de campagne,7
The Thief of Bagdad,16
The Diary of Anne Frank,7
Allegro non troppo,22
Black Widow,5
La ley de Herodes,3
Flesh + Blood,7
King Solomon's Mines,0
The Black Pirate,9
Raw Deal,10
"Goodbye, Mr. Chips",19
"Follow Me, Boys!",7
Fire Birds,0
Robot Stories,19
Against the Ropes,19
Confessions of a Teenage Drama Queen,1
EuroTrip,1
The Passion of the Christ,7
Club Dread,21
Dirty Dancing: Havana Nights,19
Twisted,23
Alila,8
"Good bye, Lenin!",15
Hidalgo,14
Starsky & Hutch,1
The Reckoning,3
Persona,7
En passion,7
Walk on the Wild Side,7
Tokyo Joe,23
The Serpent's Egg,18
Fire Down Below,9
Le Corbeau,23
The Front,8
Pickup on South Street,18
La caduta degli dei,7
American Gun,7
Richard III,7
Quartet,19
Just One of the Guys,13
The Chase,23
The Kiss,4
Wisconsin Death Trip,7
The Wrong Arm of the Law,1
Agent Cody Banks 2: Destination London,1
The Girl Next Door,1
Secret Window,5
Spartan,23
Knafayim Shvurot,7
Games People Play,1
Wilbur begår selvmord,15
Clifford,1
Mad Dog and Glory,15
The Wind in the Willows,22
Night Crossing,9
Peyton Place,19
Walk Like a Man,1
Dawn of the Dead,17
Eternal Sunshine of the Spotless Mind,19
Taking Lives,10
Ein Leben lang kurze Hosen tragen,3
Intermission,15
Nói albínói,7
Jersey Girl,13
The Ladykillers,10
Never Die Alone,23
Scooby-Doo 2: Monsters Unleashed,22
A Foreign Affair,15
Dogville,23
Ned Kelly,9
Hellboy,24
Home on the Range,20
The Prince & Me,13
Walking Tall,28
The United States of Leland,3
Johnson Family Vacation,1
The Alamo,14
Ella Enchanted,22
The Whole Ten Yards,10
Io non ho paura,23
Shade,10
Depuis qu'Otar est parti...,7
Twentynine Palms,18
The Ten Commandments,7
Dawn of the Dead,17
"Fratello sole, sorella luna",29
One Million Years B.C.,16
Prey for Rock & Roll,7
"Mother, Jugs & Speed",1
Bandolero!,3
The Slugger's Wife,19
Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,0
Cheaper by the Dozen,1
Scener ur ett äktenskap,19
Baby the Rain Must Fall,19
Belles on their Toes,1
Ned Kelly,9
Beyond the Stars,24
Mac,7
The Food of the Gods,26
Food of the Gods II,26
Anna – Der Film,19
Road to Bali,1
The Flying Deuces,1
Africa Screams,1
Jack and the Beanstalk,22
High Risk,0
The Osterman Weekend,28
Munchies,21
The Cat and the Canary,5
Hangman's Curse,5
Going in Style,1
The Late Show,1
The Sunshine Boys,1
Jersey Girl,15
The American Nightmare,11
After Hours,8
Viva Las Vegas,15
"Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...'",7
Hitman Hart: Wrestling with Shadows,11
Connie and Carla,1
Kill Bill: Vol. 2,10
The Punisher,3
Young Adam,23
13 Going on 30,13
Man on Fire,23
Clifford's Really Big Movie,20
MC5: A True Testimonial,25
Envy,1
Godsend,4
Laws of Attraction,2
Mean Girls,1
Mickey,7
New York Minute,1
Van Helsing,0
The Mudge Boy,7
Valentín,15
Breakin' All the Rules,13
Troy,29
Carandiru,7
Coffee and Cigarettes,8
Les égarés,19
Dance Me Outside,7
The Boys in the Band,7
Raid,10
D-Tox,2
Swimming to Cambodia,8
Watch on the Rhine,18
Under Fire,29
Enemy Mine,24
Enter the Dragon,10
Terra Estrangeira,19
The Rolling Stones: Gimme Shelter,25
お早よう,8
春光乍洩,19
Henry & June,19
Berkeley in the Sixties,11
Das schreckliche Mädchen,8
Coup de foudre,29
The Naked Prey,28
Martin,17
The Three Faces of Eve,7
Riget,5
Mercy,18
Desperate Hours,5
The Passion of Ayn Rand,19
Du côté de la côte,11
100 Girls,15
Fail-Safe,18
Paperhouse,17
Dobermann,10
The Discovery of Heaven,7
怪談,17
Cat-Women of the Moon,24
Chance,8
You Only Live Twice,0
Octopussy,0
The Blue Gardenia,23
Wit,7
Never Say Never Again,0
幻の光,7
Trollflöjten,13
Midnight,13
Pride and Prejudice,19
The Man in the Gray Flannel Suit,7
The Fountainhead,7
Old Acquaintance,7
In This Our Life,19
Woman of the Year,13
Summertime,19
Soldaat van Oranje,29
Le Samouraï,23
White Palace,19
Oklahoma!,14
Desert Hearts,19
Body Double,5
Rooster Cogburn,14
Chaplin,7
The Miracle Worker,7
Monster in a Box,8
Vengo,7
O Primeiro Dia,7
If You Only Knew,13
School Ties,7
Girl,15
Switch,22
Just Write,13
Raising Cain,4
Irma Vep,21
Buck Privates,1
Nice Guys Sleep Alone,13
Iron And Silk,8
Rose Red,4
Noises Off...,1
Wildflowers,7
Babylon 5: In the Beginning,24
Witchfinder General,17
VERSUS -ヴァーサス-,17
The Canterville Ghost,8
The Prince and the Showgirl,15
The China Syndrome,18
Le salaire de la peur,18
Look Who's Talking Too,13
The Bells of St. Mary's,7
You Light Up My Life,19
The Delta Force,2
Pat and Mike,15
Animal Crackers,1
"He Said, She Said",15
Bedazzled,13
Cat People,4
Camelot,25
The Lonely Guy,13
The Comedy of Terrors,21
The Four Musketeers,0
Good Guys Wear Black,2
Steel Dawn,24
On Deadly Ground,2
Boy Meets Girl,17
Protocol,1
The Postman Always Rings Twice,23
Matinee,8
Forever Fever,13
Virtual Sexuality,1
Baxter,21
Explorers,16
Mùi đu đủ xanh,19
Pierrot le fou,18
Week End,8
Les cent et une nuits de Simon Cinéma,13
Strange Cargo,7
Seven Girlfriends,13
Tuesdays with Morrie,7
You Seng,19
Александр Невский,29
Jason and the Argonauts,16
On connaît la chanson,15
Nostalghia,19
La Peau douce,19
Tinker Tailor Soldier Spy,18
Winterschläfer,7
The Driller Killer,17
蜘蛛巣城,7
La Meglio Gioventú,7
Guncrazy,23
บางระจัน,29
Treasure Island,16
Αλέξης Ζορμπάς,7
Undercurrent,18
Bang Bang You're Dead,18
My Side of the Mountain,9
The Thin Blue Lie,7
The Unsaid,18
Twister,8
Sniper,28
No se lo digas a nadie,8
Ghost in the Machine,26
Zamani barayé masti asbha,7
Genghis Blues,25
To Hell and Back,29
11'09''01 - September 11,7
"Bon Voyage, Charlie Brown (and Don't Come Back!)",20
Internal Affairs,3
The Parallax View,23
The Warriors,23
Mayerling,19
Rukajärven tie,29
Babylon 5: A Call to Arms,24
Babylon 5: The River of Souls,24
Babylon 5: Thirdspace,24
FM,8
Waterloo,9
True Stories,1
North Beach,15
Zardoz,2
School for Scoundrels,1
Jungfrukällan,3
Ice Cold in Alex,29
Mogambo,19
Segunda piel,19
Victory,19
The Secret Life of Walter Mitty,13
Cypher,5
The Rack,19
Another Thin Man,6
The Thin Man Goes Home,5
Shadow of the Thin Man,13
After the Thin Man,1
Song of the Thin Man,23
Woodstock,25
36 Fillette,19
The Internecine Project,2
Love Crazy,13
Gunga Din,29
Frank Herbert's Children of Dune,16
Frank Herbert's Dune,24
Lammbock,1
The Legend Fong Sai Yuk,0
Tremors 2: Aftershocks,21
Tremors 3: Back to Perfection,26
The Peanut Butter Solution,22
Hallelujah I'm a Bum,25
Straight to Hell,14
Margaret Cho: Notorious C.H.O.,1
Vendredi Soir,19
White Zombie,17
The Plague of the Zombies,17
I Walked with a Zombie,17
Highway 61,1
The Vampire Lovers,17
Countess Dracula,17
The Cheerleaders,1
How to Succeed in Business Without Really Trying,1
Pat Garrett & Billy the Kid,14
The Left Handed Gun,9
The Last Man on Earth,26
Gekitotsu! Satsujin ken,9
Satsujin ken 2,9
Giù la testa,14
Bring Me the Head of Alfredo Garcia,23
Ride the High Country,14
The Ballad of Cable Hogue,14
Junior Bonner,9
獨臂拳王大破血滴子,9
Frankenstein Must Be Destroyed,26
The Haunted Palace,17
Finder's Fee,18
La frusta e il corpo,5
Berlin: Die Sinfonie der Grosstadt,11
エスエフサムライ・フィクション,1
Gidget,13
Wild in the Streets,8
The Indian Runner,7
酔いどれ天使,7
Desperate Living,21
The Devil's Rain,17
The Valachi Papers,3
Rolling Thunder,23
野良犬,23
隠し砦の三悪人,0
天国と地獄,23
Efter repetitionen,7
The People Under the Stairs,4
My New Gun,1
Dark Days,11
A Night in Casablanca,1
Zelig,1
Ansikte mot Ansikte,7
Skammen,29
Tystnaden,19
Nattvardsgästerna,7
Såsom i en spegel,7
Ansiktet,7
Sommarnattens leende,13
Sommaren med Monika,19
The Killers,3
The Night of the Iguana,19
Freud: The Secret Passion,7
Reflections in a Golden Eye,19
Under the Volcano,7
Wise Blood,8
The Yakuza,23
A Better Place,7
Nightbreed,9
Schock,27
Cani arrabbiati,23
Gli orrori del castello di Norimberga,17
Bloody Mama,28
The Trip,7
Ken Park,7
Monterey Pop,25
A Bridge Too Far,29
無間道,23
"장화, 홍련",4
Broadway Danny Rose,1
From Beyond,26
The Wonderful Ice Cream Suit,22
Robot Jox,24
Dolls,17
Space Truckers,24
Not of This Earth,26
Rock 'n' Roll High School,1
Death Race 2000,24
Cockfighter,7
A Bucket of Blood,21
Premature Burial,4
The Wild Angels,9
Bedlam,4
Terrore nello spazio,26
Pure Country,19
Brigadoon,25
Marjorie Morningstar,19
The Power of One,7
The Weather Underground,11
菊次郎の夏,8
I'm with Lucy,13
봄 여름 가을 겨울 그리고 봄,7
The Phantom Tollbooth,16
The Getaway,10
10 Rillington Place,3
仄暗い水の底から,27
The Thing Called Love,19
Вор,7
How to Steal a Million,13
La sindrome di Stendhal,27
弾丸ランナー,10
Support Your Local Sheriff,14
Brain Donors,1
Passed Away,1
Mean Streets,3
Jack the Bear,7
I Am a Fugitive from a Chain Gang,3
Hamburger Hill,29
Harper,23
Sweet Bird of Youth,19
Dahmer,17
Paradise,19
Cybèle ou les dimanches de ville d'Avray,7
Comes a Horseman,19
Halbe Treppe,8
Frankenstein Unbound,26
쉬리,28
Bad Day at Black Rock,3
La Cucaracha,18
I Kina spiser de hunde,10
Delta Force 2: The Colombian Connection,0
Crossroads,19
29th Street,1
La grande séduction,8
City Limits,24
Sammy and Rosie Get Laid,8
Leaving Normal,8
Sunrise: A Song of Two Humans,19
Shock Corridor,18
The First $20 Million Is Always the Hardest,1
Au Revoir les Enfants,29
Sex: The Annabel Chong Story,11
The Girl Next Door,11
Gladiator 1992,9
Arven,7
원더풀 데이즈,24
Indestructible Man,26
The Wasp Woman,26
Attack of the Giant Leeches,26
Deranged,27
The Cruel Sea,29
Sodom and Gomorrah,7
DEAD OR ALIVE 犯罪者,23
Lola Montès,19
Charly,19
Twice Upon a Time,20
"Atlantis, the Lost Continent",16
Lust for Life,7
La dolce vita,8
人狼,24
Rush,3
Captain Blood,16
De Lift,26
*batteries not included,22
Educating Rita,15
On Moonlight Bay,13
山椒大夫,7
Zazie dans le métro,22
The Americanization of Emily,13
Anne of the Thousand Days,19
Baby Doll,7
L'avventura,7
Beyond the Valley of the Dolls,8
Hiroshima mon amour,19
Die 1000 Augen des Dr. Mabuse,10
雨月物語,7
At Play in the Fields of the Lord,19
Le Carrosse d'or,8
La guerre est finie,29
Mystery of the Wax Museum,5
The Day of the Jackal,2
The Razor's Edge,19
The Walking Dead,26
War of the Buttons,20
The Other,4
Als Je Begrijpt Wat Ik Bedoel,20
Night of the Living Dead,17
Drums Along the Mohawk,29
The Maltese Falcon,10
I Love You Again,15
Safety Last!,13
While the City Sleeps,7
The Way Ahead,29
Little Murders,1
Viridiana,7
Totally Fucked Up,8
Masterminds,2
You're a Big Boy Now,15
Rupan sansei: Kariosutoro no shiro,20
Arizona Dream,15
Kaosu,18
Queen Christina,19
Battleground,29
Citizen Toxie: The Toxic Avenger IV,21
Hooper,1
Gadjo Dilo,19
3 Women,7
The Green Pastures,7
Take Me Out to the Ball Game,13
Grey Gardens,11
Frogs,5
Purple Rain,19
Lebenszeichen,7
Point of No Return,23
Short Time,1
Le mari de la coiffeuse,15
Cromwell,29
"Jamón, jamón",15
College,15
Mitchell,3
Ten Little Indians,23
白痴,19
Used People,15
